python_version,interpreter_mode,threads,workload_size,execution_time
3.14.5,standard (gil),1,5000000,1.639182398999992
3.14.5,standard (gil),2,5000000,3.2822559119999966
3.14.5,standard (gil),3,5000000,4.858320980000002
3.14.5,standard (gil),4,5000000,6.44442646200001
3.14.5,standard (gil),5,5000000,8.166816517
3.14.5,standard (gil),6,5000000,9.816718714999993
3.14.5,standard (gil),7,5000000,11.465789623999996
3.14.5,standard (gil),8,5000000,13.067013348000017
